algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
ddqn,42,190,1769,-10.08,8,0,1,0.9719908333333334,,
ddqn,42,191,1771,-10.02,2,0,1,0.9719591666666667,,
ddqn,42,192,1779,-10.08,8,0,1,0.9718325,,
ddqn,42,193,1782,-10.03,3,0,1,0.971785,,
ddqn,42,194,1785,-10.03,3,0,1,0.9717375,,
ddqn,42,195,1787,-10.02,2,0,1,0.9717058333333334,,
ddqn,42,196,1819,-10.32,32,0,1,0.9711991666666666,,
ddqn,42,197,1823,-10.04,4,0,1,0.9711358333333333,,
ddqn,42,198,1846,-10.23,23,0,1,0.9707716666666667,,
ddqn,42,199,1848,-10.02,2,0,1,0.97074,,
ddqn,42,200,1851,-10.03,3,0,1,0.9706925,,
ddqn,42,201,1856,-10.049999999999999,5,0,1,0.9706133333333333,,
ddqn,42,202,1859,-10.03,3,0,1,0.9705658333333333,,
ddqn,42,203,1870,-10.11,11,0,1,0.9703916666666667,,
ddqn,42,204,1879,-10.09,9,0,1,0.9702491666666667,,
ddqn,42,205,1886,-10.07,7,0,1,0.9701383333333333,,
ddqn,42,206,1895,-10.09,9,0,1,0.9699958333333334,,
ddqn,42,207,1897,-10.02,2,0,1,0.9699641666666666,,
ddqn,42,208,1908,-10.11,11,0,1,0.96979,,
ddqn,42,209,1918,-10.1,10,0,1,0.9696316666666667,,
ddqn,42,210,1922,-10.04,4,0,1,0.9695683333333334,,
ddqn,42,211,1934,-10.12,12,0,1,0.9693783333333333,,
ddqn,42,212,1948,-10.14,14,0,1,0.9691566666666667,,
ddqn,42,213,1954,-10.06,6,0,1,0.9690616666666667,,
ddqn,42,214,1964,-10.1,10,0,1,0.9689033333333333,,
ddqn,42,215,1970,-10.06,6,0,1,0.9688083333333334,,
ddqn,42,216,1974,-10.04,4,0,1,0.968745,,
ddqn,42,217,1977,-10.03,3,0,1,0.9686975,,
ddqn,42,218,1979,-10.02,2,0,1,0.9686658333333333,,
ddqn,42,219,1982,-10.03,3,0,1,0.9686183333333334,,
ddqn,42,220,1986,-10.04,4,0,1,0.968555,,
ddqn,42,221,1988,-10.02,2,0,1,0.9685233333333333,,
ddqn,42,222,1990,-10.02,2,0,1,0.9684916666666666,,
ddqn,42,223,2001,-10.11,11,0,1,0.9683175,1.318739891052246,-0.05734029412269592
ddqn,42,224,2003,-10.02,2,0,1,0.9682858333333333,,
ddqn,42,225,2004,-10.01,1,0,1,0.96827,1.0162534713745117,-0.08097146451473236
ddqn,42,226,2012,-10.08,8,0,1,0.9681433333333334,1.6973734498023987,-0.19136401265859604
ddqn,42,227,2025,-10.129999999999999,13,0,1,0.9679375,0.7764752904574076,-0.24841914077599844
ddqn,42,228,2029,-10.04,4,0,1,0.9678741666666667,1.0177689790725708,-0.3124583661556244
ddqn,42,229,2035,-10.06,6,0,1,0.9677791666666666,0.7201675176620483,-0.24611914157867432
ddqn,42,230,2037,-10.02,2,0,1,0.9677475,0.8419660329818726,-0.22234205901622772
ddqn,42,231,2041,-10.04,4,0,1,0.9676841666666667,0.8698541522026062,-0.25739145278930664
ddqn,42,232,2045,-10.04,4,0,1,0.9676208333333334,1.5458966493606567,-0.2753821611404419
ddqn,42,233,2078,-10.33,33,0,1,0.9670983333333333,1.0018725097179413,-0.19970503821969032
ddqn,42,234,2080,-10.02,2,0,1,0.9670666666666666,0.7203077077865601,-0.2272358536720276
ddqn,42,235,2092,-10.12,12,0,1,0.9668766666666667,0.6709018150965372,-0.22020349899927774
ddqn,42,236,2094,-10.02,2,0,1,0.966845,,
ddqn,42,237,2122,9.72,28,1,0,0.9664016666666667,1.144173571041652,-0.20065779771123612
ddqn,42,238,2123,-10.01,1,0,1,0.9663858333333333,,
ddqn,42,239,2128,-10.049999999999999,5,0,1,0.9663066666666666,0.9140846729278564,-0.36206182837486267
ddqn,42,240,2165,-10.37,37,0,1,0.9657208333333334,1.0140128996637132,-0.298898051182429
ddqn,42,241,2179,-10.14,14,0,1,0.9654991666666667,0.7055296897888184,-0.25242477158705395
ddqn,42,242,2190,-10.11,11,0,1,0.965325,0.9809638063112894,-0.4695318142573039
ddqn,42,243,2194,-10.04,4,0,1,0.9652616666666667,1.1487326622009277,-0.7220863103866577
ddqn,42,244,2196,-10.02,2,0,1,0.96523,1.1503140926361084,-0.7761238217353821
ddqn,42,245,2199,-10.03,3,0,1,0.9651825,,
ddqn,42,246,2202,-10.03,3,0,1,0.965135,1.0499300956726074,-0.7694363594055176
ddqn,42,247,2206,-10.04,4,0,1,0.9650716666666667,2.0038275718688965,-0.9149795174598694
ddqn,42,248,2208,-10.02,2,0,1,0.96504,0.8328025937080383,-0.4612154960632324
ddqn,42,249,2212,-10.04,4,0,1,0.9649766666666667,1.1520335674285889,-0.5909015536308289
ddqn,42,250,2219,-10.07,7,0,1,0.9648658333333333,0.8660703897476196,-0.3680870234966278
ddqn,42,251,2228,-10.09,9,0,1,0.9647233333333334,1.0093941887219746,-0.45561232169469196
ddqn,42,252,2235,-10.07,7,0,1,0.9646125,0.8764171004295349,-0.535595178604126
ddqn,42,253,2239,-10.04,4,0,1,0.9645491666666667,0.8030064105987549,-0.6889212131500244
ddqn,42,254,2241,-10.02,2,0,1,0.9645175,0.3986125886440277,-0.5544816851615906
ddqn,42,255,2249,-10.08,8,0,1,0.9643908333333333,0.7612108290195465,-0.5523849576711655
ddqn,42,256,2252,-10.03,3,0,1,0.9643433333333333,0.6671466827392578,-0.2439793199300766
ddqn,42,257,2258,-10.06,6,0,1,0.9642483333333334,0.8946802616119385,-0.3479065001010895
ddqn,42,258,2273,-10.15,15,0,1,0.9640108333333334,0.7994722425937653,-0.5809019729495049
ddqn,42,259,2285,-10.12,12,0,1,0.9638208333333333,0.8748951951662699,-1.1216252446174622
ddqn,42,260,2289,-10.04,4,0,1,0.9637575,0.8637828826904297,-1.2392996549606323
ddqn,42,261,2291,-10.02,2,0,1,0.9637258333333334,,
ddqn,42,262,2302,-10.11,11,0,1,0.9635516666666667,0.7393168807029724,-1.366789182027181
ddqn,42,263,2304,-10.02,2,0,1,0.96352,0.7354266047477722,-1.1259801387786865
ddqn,42,264,2306,-10.02,2,0,1,0.9634883333333333,,
ddqn,42,265,2329,-10.23,23,0,1,0.9631241666666667,0.6364297668139139,-0.7612002491950989
ddqn,42,266,2331,-10.02,2,0,1,0.9630925,,
ddqn,42,267,2335,-10.04,4,0,1,0.9630291666666667,0.3983445167541504,-1.2426273822784424
ddqn,42,268,2341,-10.06,6,0,1,0.9629341666666666,1.0486547350883484,-1.252379834651947
ddqn,42,269,2347,-10.06,6,0,1,0.9628391666666667,0.26871007680892944,-0.9333583116531372
ddqn,42,270,2368,-10.209999999999999,21,0,1,0.9625066666666666,0.5785011351108551,-1.122314949830373
ddqn,42,271,2383,-10.15,15,0,1,0.9622691666666666,0.5709875424702963,-0.9808891514937083
ddqn,42,272,2414,-10.31,31,0,1,0.9617783333333333,0.5235115550458431,-1.1271174922585487
ddqn,42,273,2416,-10.02,2,0,1,0.9617466666666666,0.4916001558303833,-1.338416337966919
ddqn,42,274,2417,-10.01,1,0,1,0.9617308333333333,,
ddqn,42,275,2422,-10.049999999999999,5,0,1,0.9616516666666667,0.08877785503864288,-1.2713671922683716
ddqn,42,276,2439,-10.17,17,0,1,0.9613825,0.5082038938999176,-0.8370026350021362
ddqn,42,277,2441,-10.02,2,0,1,0.9613508333333334,0.2998509109020233,-0.9140167236328125
ddqn,42,278,2445,-10.04,4,0,1,0.9612875,0.3041292726993561,-1.1200906038284302
ddqn,42,279,2447,-10.02,2,0,1,0.9612558333333333,,
ddqn,42,280,2449,-10.02,2,0,1,0.9612241666666667,0.40499335527420044,-1.1287685632705688
ddqn,42,281,2453,-10.04,4,0,1,0.9611608333333334,0.15316061675548553,-0.7009025812149048
ddqn,42,282,2455,-10.02,2,0,1,0.9611291666666667,,
ddqn,42,283,2463,-10.08,8,0,1,0.9610025,0.14615096896886826,-0.7099724411964417
ddqn,42,284,2470,-10.07,7,0,1,0.9608916666666667,0.5061174631118774,-0.9625288546085358
